ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0008150	biological process	3075	723	CNAG_00007,CNAG_00017,CNAG_00021,CNAG_00035,CNAG_00072,CNAG_00077,CNAG_00078,CNAG_00106,CNAG_00107,CNAG_00111,CNAG_00118,CNAG_00122,CNAG_00132,CNAG_00136,CNAG_00147,CNAG_00150,CNAG_00156,CNAG_00165,CNAG_00172,CNAG_00178,CNAG_00179,CNAG_00193,CNAG_00237,CNAG_00238,CNAG_00247,CNAG_00264,CNAG_00310,CNAG_00363,CNAG_00383,CNAG_00388,CNAG_00407,CNAG_00433,CNAG_00443,CNAG_00445,CNAG_00457,CNAG_00469,CNAG_00498,CNAG_00508,CNAG_00509,CNAG_00519,CNAG_00527,CNAG_00531,CNAG_00533,CNAG_00539,CNAG_00545,CNAG_00546,CNAG_00550,CNAG_00554,CNAG_00566,CNAG_00572,CNAG_00574,CNAG_00580,CNAG_00590,CNAG_00594,CNAG_00599,CNAG_00612,CNAG_00625,CNAG_00644,CNAG_00682,CNAG_00700,CNAG_00730,CNAG_00732,CNAG_00740,CNAG_00745,CNAG_00774,CNAG_00778,CNAG_00787,CNAG_00792,CNAG_00796,CNAG_00811,CNAG_00815,CNAG_00823,CNAG_00826,CNAG_00844,CNAG_00864,CNAG_00871,CNAG_00872,CNAG_00879,CNAG_00884,CNAG_00888,CNAG_00898,CNAG_00914,CNAG_00919,CNAG_00926,CNAG_00988,CNAG_00996,CNAG_01000,CNAG_01002,CNAG_01014,CNAG_01033,CNAG_01039,CNAG_01055,CNAG_01059,CNAG_01061,CNAG_01063,CNAG_01099,CNAG_01100,CNAG_01106,CNAG_01107,CNAG_01108,CNAG_01118,CNAG_01119,CNAG_01126,CNAG_01137,CNAG_01146,CNAG_01150,CNAG_01155,CNAG_01164,CNAG_01169,CNAG_01189,CNAG_01195,CNAG_01208,CNAG_01209,CNAG_01214,CNAG_01232,CNAG_01239,CNAG_01243,CNAG_01248,CNAG_01258,CNAG_01266,CNAG_01278,CNAG_01298,CNAG_01330,CNAG_01338,CNAG_01361,CNAG_01371,CNAG_01377,CNAG_01408,CNAG_01421,CNAG_01424,CNAG_01438,CNAG_01445,CNAG_01467,CNAG_01472,CNAG_01477,CNAG_01487,CNAG_01496,CNAG_01497,CNAG_01499,CNAG_01506,CNAG_01532,CNAG_01535,CNAG_01539,CNAG_01543,CNAG_01551,CNAG_01565,CNAG_01572,CNAG_01575,CNAG_01580,CNAG_01590,CNAG_01594,CNAG_01601,CNAG_01633,CNAG_01640,CNAG_01651,CNAG_01678,CNAG_01683,CNAG_01701,CNAG_01707,CNAG_01722,CNAG_01733,CNAG_01740,CNAG_01802,CNAG_01806,CNAG_01820,CNAG_01827,CNAG_01840,CNAG_01843,CNAG_01850,CNAG_01858,CNAG_01864,CNAG_01865,CNAG_01890,CNAG_01905,CNAG_01913,CNAG_01916,CNAG_01925,CNAG_01964,CNAG_01969,CNAG_01972,CNAG_01982,CNAG_01987,CNAG_01988,CNAG_02001,CNAG_02010,CNAG_02024,CNAG_02050,CNAG_02073,CNAG_02077,CNAG_02079,CNAG_02089,CNAG_02099,CNAG_02100,CNAG_02125,CNAG_02160,CNAG_02166,CNAG_02167,CNAG_02172,CNAG_02175,CNAG_02178,CNAG_02180,CNAG_02183,CNAG_02189,CNAG_02216,CNAG_02217,CNAG_02225,CNAG_02233,CNAG_02262,CNAG_02265,CNAG_02282,CNAG_02294,CNAG_02312,CNAG_02313,CNAG_02322,CNAG_02351,CNAG_02355,CNAG_02363,CNAG_02389,CNAG_02393,CNAG_02399,CNAG_02430,CNAG_02437,CNAG_02440,CNAG_02445,CNAG_02453,CNAG_02455,CNAG_02458,CNAG_02467,CNAG_02468,CNAG_02470,CNAG_02475,CNAG_02487,CNAG_02488,CNAG_02507,CNAG_02523,CNAG_02541,CNAG_02545,CNAG_02561,CNAG_02565,CNAG_02595,CNAG_02603,CNAG_02658,CNAG_02662,CNAG_02675,CNAG_02680,CNAG_02682,CNAG_02686,CNAG_02700,CNAG_02708,CNAG_02715,CNAG_02721,CNAG_02730,CNAG_02745,CNAG_02749,CNAG_02764,CNAG_02797,CNAG_02810,CNAG_02820,CNAG_02858,CNAG_02866,CNAG_02870,CNAG_02876,CNAG_02877,CNAG_02883,CNAG_02890,CNAG_02892,CNAG_02896,CNAG_02897,CNAG_02936,CNAG_02940,CNAG_02973,CNAG_02977,CNAG_02982,CNAG_02989,CNAG_02997,CNAG_03005,CNAG_03013,CNAG_03019,CNAG_03024,CNAG_03060,CNAG_03061,CNAG_03079,CNAG_03080,CNAG_03087,CNAG_03099,CNAG_03110,CNAG_03116,CNAG_03120,CNAG_03121,CNAG_03139,CNAG_03148,CNAG_03171,CNAG_03173,CNAG_03183,CNAG_03184,CNAG_03187,CNAG_03190,CNAG_03191,CNAG_03202,CNAG_03212,CNAG_03216,CNAG_03240,CNAG_03324,CNAG_03326,CNAG_03336,CNAG_03341,CNAG_03342,CNAG_03345,CNAG_03346,CNAG_03355,CNAG_03366,CNAG_03368,CNAG_03369,CNAG_03378,CNAG_03418,CNAG_03436,CNAG_03450,CNAG_03493,CNAG_03498,CNAG_03503,CNAG_03510,CNAG_03525,CNAG_03527,CNAG_03559,CNAG_03582,CNAG_03588,CNAG_03595,CNAG_03600,CNAG_03603,CNAG_03612,CNAG_03619,CNAG_03622,CNAG_03629,CNAG_03641,CNAG_03648,CNAG_03655,CNAG_03657,CNAG_03661,CNAG_03673,CNAG_03674,CNAG_03694,CNAG_03701,CNAG_03710,CNAG_03718,CNAG_03723,CNAG_03724,CNAG_03742,CNAG_03748,CNAG_03761,CNAG_03763,CNAG_03768,CNAG_03781,CNAG_03782,CNAG_03787,CNAG_03791,CNAG_03796,CNAG_03818,CNAG_03821,CNAG_03826,CNAG_03834,CNAG_03838,CNAG_03876,CNAG_03907,CNAG_03921,CNAG_03923,CNAG_03931,CNAG_03934,CNAG_03935,CNAG_03938,CNAG_03940,CNAG_03942,CNAG_03962,CNAG_03996,CNAG_04010,CNAG_04012,CNAG_04016,CNAG_04024,CNAG_04032,CNAG_04033,CNAG_04040,CNAG_04041,CNAG_04074,CNAG_04082,CNAG_04083,CNAG_04113,CNAG_04114,CNAG_04119,CNAG_04136,CNAG_04142,CNAG_04148,CNAG_04149,CNAG_04151,CNAG_04156,CNAG_04162,CNAG_04174,CNAG_04184,CNAG_04191,CNAG_04192,CNAG_04213,CNAG_04241,CNAG_04243,CNAG_04245,CNAG_04260,CNAG_04271,CNAG_04276,CNAG_04324,CNAG_04335,CNAG_04341,CNAG_04350,CNAG_04358,CNAG_04365,CNAG_04370,CNAG_04380,CNAG_04398,CNAG_04408,CNAG_04433,CNAG_04441,CNAG_04472,CNAG_04484,CNAG_04493,CNAG_04501,CNAG_04521,CNAG_04524,CNAG_04536,CNAG_04546,CNAG_04597,CNAG_04599,CNAG_04617,CNAG_04621,CNAG_04630,CNAG_04634,CNAG_04635,CNAG_04640,CNAG_04642,CNAG_04647,CNAG_04669,CNAG_04687,CNAG_04691,CNAG_04719,CNAG_04721,CNAG_04737,CNAG_04742,CNAG_04744,CNAG_04755,CNAG_04774,CNAG_04776,CNAG_04786,CNAG_04792,CNAG_04794,CNAG_04802,CNAG_04803,CNAG_04804,CNAG_04807,CNAG_04819,CNAG_04821,CNAG_04825,CNAG_04832,CNAG_04833,CNAG_04834,CNAG_04841,CNAG_04861,CNAG_04862,CNAG_04867,CNAG_04876,CNAG_04879,CNAG_04895,CNAG_04904,CNAG_04905,CNAG_04909,CNAG_04916,CNAG_04920,CNAG_04936,CNAG_04937,CNAG_04969,CNAG_04973,CNAG_04997,CNAG_05005,CNAG_05007,CNAG_05010,CNAG_05011,CNAG_05028,CNAG_05063,CNAG_05070,CNAG_05078,CNAG_05080,CNAG_05084,CNAG_05112,CNAG_05119,CNAG_05122,CNAG_05130,CNAG_05136,CNAG_05138,CNAG_05139,CNAG_05153,CNAG_05155,CNAG_05170,CNAG_05176,CNAG_05183,CNAG_05199,CNAG_05226,CNAG_05264,CNAG_05280,CNAG_05282,CNAG_05300,CNAG_05305,CNAG_05348,CNAG_05355,CNAG_05369,CNAG_05392,CNAG_05395,CNAG_05411,CNAG_05413,CNAG_05429,CNAG_05431,CNAG_05439,CNAG_05455,CNAG_05459,CNAG_05471,CNAG_05498,CNAG_05549,CNAG_05551,CNAG_05552,CNAG_05558,CNAG_05559,CNAG_05581,CNAG_05583,CNAG_05592,CNAG_05607,CNAG_05613,CNAG_05616,CNAG_05617,CNAG_05629,CNAG_05634,CNAG_05639,CNAG_05642,CNAG_05650,CNAG_05654,CNAG_05662,CNAG_05673,CNAG_05687,CNAG_05695,CNAG_05703,CNAG_05718,CNAG_05722,CNAG_05740,CNAG_05742,CNAG_05747,CNAG_05750,CNAG_05753,CNAG_05759,CNAG_05771,CNAG_05799,CNAG_05804,CNAG_05809,CNAG_05812,CNAG_05836,CNAG_05838,CNAG_05852,CNAG_05861,CNAG_05867,CNAG_05881,CNAG_05884,CNAG_05894,CNAG_05900,CNAG_05907,CNAG_05925,CNAG_05930,CNAG_05940,CNAG_05970,CNAG_05975,CNAG_05976,CNAG_05977,CNAG_05982,CNAG_06008,CNAG_06018,CNAG_06031,CNAG_06034,CNAG_06085,CNAG_06093,CNAG_06101,CNAG_06103,CNAG_06112,CNAG_06119,CNAG_06131,CNAG_06134,CNAG_06136,CNAG_06143,CNAG_06145,CNAG_06160,CNAG_06161,CNAG_06175,CNAG_06182,CNAG_06183,CNAG_06186,CNAG_06188,CNAG_06203,CNAG_06227,CNAG_06240,CNAG_06248,CNAG_06252,CNAG_06279,CNAG_06291,CNAG_06301,CNAG_06310,CNAG_06314,CNAG_06317,CNAG_06323,CNAG_06325,CNAG_06326,CNAG_06329,CNAG_06359,CNAG_06362,CNAG_06379,CNAG_06400,CNAG_06425,CNAG_06465,CNAG_06469,CNAG_06483,CNAG_06503,CNAG_06508,CNAG_06510,CNAG_06515,CNAG_06521,CNAG_06531,CNAG_06534,CNAG_06538,CNAG_06539,CNAG_06542,CNAG_06550,CNAG_06568,CNAG_06591,CNAG_06599,CNAG_06603,CNAG_06611,CNAG_06637,CNAG_06647,CNAG_06697,CNAG_06699,CNAG_06732,CNAG_06738,CNAG_06741,CNAG_06754,CNAG_06758,CNAG_06761,CNAG_06762,CNAG_06776,CNAG_06782,CNAG_06793,CNAG_06797,CNAG_06818,CNAG_06830,CNAG_06845,CNAG_06871,CNAG_06921,CNAG_06929,CNAG_06963,CNAG_06998,CNAG_07033,CNAG_07108,CNAG_07318,CNAG_07328,CNAG_07334,CNAG_07339,CNAG_07354,CNAG_07359,CNAG_07363,CNAG_07373,CNAG_07377,CNAG_07387,CNAG_07402,CNAG_07409,CNAG_07411,CNAG_07427,CNAG_07439,CNAG_07448,CNAG_07460,CNAG_07463,CNAG_07464,CNAG_07469,CNAG_07470,CNAG_07473,CNAG_07483,CNAG_07506,CNAG_07514,CNAG_07538,CNAG_07566,CNAG_07579,CNAG_07580,CNAG_07598,CNAG_07600,CNAG_07604,CNAG_07641,CNAG_07675,CNAG_07692,CNAG_07693,CNAG_07694,CNAG_07695,CNAG_07717,CNAG_07718,CNAG_07735,CNAG_07744,CNAG_07746,CNAG_07751,CNAG_07756,CNAG_07766,CNAG_07770,CNAG_07771,CNAG_07781,CNAG_07805,CNAG_07846,CNAG_07855,CNAG_07902,CNAG_07908,CNAG_07921,CNAG_07924,CNAG_07938,CNAG_07940,CNAG_07942,CNAG_07977,CNAG_07989,CNAG_08002,CNAG_08008,CNAG_08013,	23.5	1.13	1.52	4.37816889419e-09	2.18908444709e-07	2.18908444709e-07
GO:0023052	signaling	101	45	CNAG_00106,CNAG_00156,CNAG_00179,CNAG_00363,CNAG_01063,CNAG_01258,CNAG_01421,CNAG_01580,CNAG_01850,CNAG_01982,CNAG_01988,CNAG_02393,CNAG_02458,CNAG_02523,CNAG_02883,CNAG_03024,CNAG_03184,CNAG_03202,CNAG_03355,CNAG_03763,CNAG_03818,CNAG_03821,CNAG_03876,CNAG_03938,CNAG_04119,CNAG_04213,CNAG_04241,CNAG_04335,CNAG_04832,CNAG_05063,CNAG_05348,CNAG_05634,CNAG_05695,CNAG_05703,CNAG_05771,CNAG_05838,CNAG_06160,CNAG_06362,CNAG_06697,CNAG_06929,CNAG_07470,CNAG_07675,CNAG_07718,CNAG_07744,CNAG_07942,	44.6	2.14	3.14	5.49918522849e-08	1.37479630712e-06	2.74959261425e-06
GO:0055085	transmembrane transport	350	110	CNAG_00077,CNAG_00078,CNAG_00433,CNAG_00443,CNAG_00539,CNAG_00574,CNAG_00730,CNAG_00792,CNAG_00796,CNAG_00815,CNAG_00823,CNAG_00844,CNAG_00864,CNAG_00898,CNAG_01002,CNAG_01055,CNAG_01059,CNAG_01106,CNAG_01118,CNAG_01119,CNAG_01208,CNAG_01232,CNAG_01467,CNAG_01472,CNAG_01497,CNAG_01499,CNAG_01535,CNAG_01575,CNAG_01678,CNAG_01683,CNAG_01925,CNAG_01964,CNAG_02010,CNAG_02050,CNAG_02180,CNAG_02262,CNAG_02355,CNAG_02363,CNAG_02430,CNAG_02455,CNAG_02561,CNAG_02595,CNAG_02764,CNAG_02940,CNAG_02977,CNAG_03013,CNAG_03060,CNAG_03061,CNAG_03087,CNAG_03110,CNAG_03450,CNAG_03503,CNAG_03559,CNAG_03600,CNAG_03619,CNAG_03694,CNAG_03838,CNAG_03931,CNAG_04024,CNAG_04142,CNAG_04276,CNAG_04358,CNAG_04472,CNAG_04536,CNAG_04546,CNAG_04597,CNAG_04617,CNAG_04794,CNAG_04834,CNAG_04867,CNAG_04920,CNAG_05119,CNAG_05130,CNAG_05139,CNAG_05300,CNAG_05459,CNAG_05616,CNAG_05662,CNAG_05718,CNAG_05750,CNAG_05812,CNAG_05867,CNAG_05982,CNAG_06034,CNAG_06101,CNAG_06119,CNAG_06186,CNAG_06317,CNAG_06323,CNAG_06326,CNAG_06329,CNAG_06400,CNAG_06503,CNAG_06521,CNAG_06538,CNAG_06539,CNAG_06758,CNAG_06761,CNAG_06776,CNAG_06963,CNAG_07387,CNAG_07402,CNAG_07448,CNAG_07538,CNAG_07641,CNAG_07693,CNAG_07695,CNAG_07751,CNAG_07781,CNAG_07902,	31.4	1.51	1.82	9.87681423667e-07	1.64613570611e-05	4.93840711834e-05
GO:0006629	lipid metabolic process	138	50	CNAG_00388,CNAG_00519,CNAG_00554,CNAG_00594,CNAG_00644,CNAG_01107,CNAG_01150,CNAG_01209,CNAG_01239,CNAG_01248,CNAG_01298,CNAG_01532,CNAG_01539,CNAG_01580,CNAG_01601,CNAG_02001,CNAG_02099,CNAG_02100,CNAG_02312,CNAG_02487,CNAG_02541,CNAG_02686,CNAG_02715,CNAG_02892,CNAG_02896,CNAG_03079,CNAG_03080,CNAG_03139,CNAG_03493,CNAG_03657,CNAG_03821,CNAG_03834,CNAG_04083,CNAG_04335,CNAG_04350,CNAG_04640,CNAG_04669,CNAG_04687,CNAG_04792,CNAG_05413,CNAG_05583,CNAG_05617,CNAG_05759,CNAG_05881,CNAG_06085,CNAG_06161,CNAG_06534,CNAG_06647,CNAG_07339,CNAG_07744,	36.2	1.74	2.21	1.77744893742e-05	0.000222181117177	0.00088872446871
GO:0071554	cell wall organization or biogenesis	40	17	CNAG_00156,CNAG_02217,CNAG_02810,CNAG_03099,CNAG_03190,CNAG_03326,CNAG_03648,CNAG_04119,CNAG_04640,CNAG_04755,CNAG_05139,CNAG_05431,CNAG_05581,CNAG_05650,CNAG_05703,CNAG_06085,CNAG_06508,	42.5	2.04	2.83	0.00155104389513	0.0155104389513	0.0775521947567
GO:0022414	reproductive process	147	45	CNAG_00193,CNAG_00363,CNAG_00745,CNAG_01209,CNAG_01371,CNAG_01551,CNAG_01850,CNAG_02233,CNAG_02351,CNAG_02675,CNAG_02700,CNAG_02883,CNAG_02897,CNAG_03116,CNAG_03184,CNAG_03190,CNAG_03202,CNAG_03366,CNAG_03796,CNAG_03818,CNAG_03923,CNAG_03996,CNAG_04040,CNAG_04119,CNAG_04191,CNAG_04245,CNAG_04521,CNAG_04774,CNAG_04804,CNAG_05063,CNAG_05139,CNAG_05153,CNAG_05155,CNAG_05280,CNAG_05392,CNAG_05439,CNAG_05558,CNAG_05642,CNAG_05650,CNAG_05771,CNAG_06203,CNAG_06301,CNAG_06697,CNAG_07924,CNAG_07940,	30.6	1.47	1.7	0.00306838022452	0.0255698352043	0.153419011226
GO:0006913	nucleocytoplasmic transport	22	10	CNAG_00988,CNAG_01000,CNAG_01330,CNAG_01361,CNAG_02265,CNAG_03942,CNAG_04149,CNAG_05884,CNAG_06550,CNAG_07469,	45.5	2.18	3.18	0.00823730139548	0.0588378671106	0.411865069774
GO:0006355	regulation of transcription, DNA-templated	232	61	CNAG_00017,CNAG_00035,CNAG_00132,CNAG_00156,CNAG_00193,CNAG_00732,CNAG_00871,CNAG_01487,CNAG_01551,CNAG_01988,CNAG_02322,CNAG_02877,CNAG_03116,CNAG_03121,CNAG_03183,CNAG_03212,CNAG_03336,CNAG_03346,CNAG_03710,CNAG_03768,CNAG_03826,CNAG_04012,CNAG_04041,CNAG_04184,CNAG_04271,CNAG_04398,CNAG_04630,CNAG_04774,CNAG_04807,CNAG_04819,CNAG_04841,CNAG_04895,CNAG_04916,CNAG_05112,CNAG_05153,CNAG_05170,CNAG_05429,CNAG_05642,CNAG_05687,CNAG_05861,CNAG_05940,CNAG_06134,CNAG_06136,CNAG_06188,CNAG_06252,CNAG_06425,CNAG_06483,CNAG_06531,CNAG_06754,CNAG_06762,CNAG_06818,CNAG_06871,CNAG_07460,CNAG_07464,CNAG_07506,CNAG_07921,CNAG_07924,CNAG_07940,CNAG_07977,CNAG_08008,CNAG_08013,	26.3	1.26	1.37	0.0248292892797	0.147302808753	1.0
GO:0036211	protein modification process	276	71	CNAG_00136,CNAG_00498,CNAG_00745,CNAG_00926,CNAG_00996,CNAG_01061,CNAG_01107,CNAG_01496,CNAG_01565,CNAG_01572,CNAG_01733,CNAG_01905,CNAG_01988,CNAG_02389,CNAG_02675,CNAG_02680,CNAG_02715,CNAG_02820,CNAG_02892,CNAG_03005,CNAG_03024,CNAG_03079,CNAG_03171,CNAG_03184,CNAG_03216,CNAG_03369,CNAG_03648,CNAG_03791,CNAG_03796,CNAG_03826,CNAG_03996,CNAG_04040,CNAG_04148,CNAG_04162,CNAG_04191,CNAG_04433,CNAG_04493,CNAG_04755,CNAG_04786,CNAG_04997,CNAG_05005,CNAG_05063,CNAG_05078,CNAG_05155,CNAG_05413,CNAG_05429,CNAG_05439,CNAG_05549,CNAG_05558,CNAG_05617,CNAG_05639,CNAG_05650,CNAG_05740,CNAG_05771,CNAG_05836,CNAG_05881,CNAG_05970,CNAG_06301,CNAG_06310,CNAG_06568,CNAG_06637,CNAG_06647,CNAG_06697,CNAG_06754,CNAG_06782,CNAG_06845,CNAG_07377,CNAG_07427,CNAG_07580,CNAG_07692,CNAG_07717,	25.7	1.23	1.34	0.0265145055755	0.147302808753	1.0
GO:0006790	sulfur compound metabolic process	58	18	CNAG_00021,CNAG_00165,CNAG_00247,CNAG_01802,CNAG_01890,CNAG_02399,CNAG_02467,CNAG_02686,CNAG_04136,CNAG_04640,CNAG_04647,CNAG_04776,CNAG_05011,CNAG_05028,CNAG_05070,CNAG_05759,CNAG_06603,CNAG_07354,	31.0	1.49	1.72	0.0441541529129	0.209352081252	1.0
GO:0006914	autophagy	17	7	CNAG_00778,CNAG_01424,CNAG_01445,CNAG_02662,CNAG_04324,CNAG_05005,CNAG_06732,	41.2	1.97	2.67	0.0460574578755	0.209352081252	1.0
